epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,0.5875675678253174,3.1186355e-05,0.5875675678253174,0.5657464861869812,0.5437079071998596,0.5437079071998596,0.6109182238578796
1,0.5847273468971252,4.6670488e-05,0.5847273468971252,0.569648027420044,0.5415730476379395,0.5415730476379395,0.615111768245697
2,0.5842850208282471,2.5397152e-05,0.5842850208282471,0.5690217018127441,0.5398667454719543,0.5398667454719543,0.6177316904067993
3,0.5842897891998291,1.570222e-05,0.5842897891998291,0.5705127716064453,0.5412879586219788,0.5412879586219788,0.6150158047676086
4,0.5810516476631165,3.6975554e-05,0.5810516476631165,0.5746292471885681,0.5513452291488647,0.5513452291488647,0.5964498519897461
5,0.5781343579292297,4.0881285e-05,0.5781343579292297,0.5782359838485718,0.5382639765739441,0.5382639765739441,0.6216455101966858
6,0.5778887867927551,1.9607949e-05,0.5778887867927551,0.5785710215568542,0.5355549454689026,0.5355549454689026,0.6232255697250366
7,0.5774555206298828,2.1491422e-05,0.5774555206298828,0.5789808630943298,0.5373640060424805,0.5373640060424805,0.6181299686431885
8,0.5741117596626282,4.2764757e-05,0.5741117596626282,0.5838519334793091,0.5423962473869324,0.5423962473869324,0.618804395198822
9,0.5723140835762024,3.509208e-05,0.5723140835762024,0.5862661004066467,0.5430579781532288,0.5430579781532288,0.6115366220474243
10,0.5726615190505981,1.3818747e-05,0.5726615190505981,0.585782527923584,0.534479558467865,0.534479558467865,0.6236037611961365
11,0.5718300938606262,2.7280625e-05,0.5718300938606262,0.5872249007225037,0.5355681777000427,0.5355681777000427,0.6250662803649902
12,0.5679087042808533,4.855396e-05,0.5679087042808533,0.5925711393356323,0.5344979763031006,0.5344979763031006,0.6240877509117126
13,0.5665804743766785,2.930288e-05,0.5665804743766785,0.5942811369895935,0.5326947569847107,0.5326947569847107,0.6276750564575195
14,0.5676097273826599,1.1796491e-05,0.5676097273826599,0.5928824543952942,0.5366846323013306,0.5366846323013306,0.6192787885665894
15,0.5654984712600708,3.3069828e-05,0.5654984712600708,0.595464289188385,0.5331990718841553,0.5331990718841553,0.6255125999450684
16,0.5619414448738098,4.4787015e-05,0.5619414448738098,0.6008054614067078,0.5384626388549805,0.5384626388549805,0.6157458424568176
17,0.5622087121009827,2.3513678e-05,0.5622087121009827,0.600295901298523,0.530786395072937,0.530786395072937,0.6313871145248413
18,0.56185382604599,1.7585693e-05,0.56185382604599,0.6004416346549988,0.5308722853660583,0.5308722853660583,0.631984293460846
19,0.5592610836029053,3.885903e-05,0.5592610836029053,0.603736162185669,0.5292118191719055,0.5292118191719055,0.6320469379425049
