epoch,loss,lr,mae,r2,val_loss,val_mae,val_r2
0,0.8926259279251099,3.1186355e-05,0.8926259279251099,0.058539822697639465,0.6129024624824524,0.6129024624824524,0.51505446434021
1,0.7988744974136353,4.6670488e-05,0.7988744974136353,0.23960275948047638,0.6104551553726196,0.6104551553726196,0.5252702832221985
2,0.7404570579528809,2.5397152e-05,0.7404570579528809,0.33861666917800903,0.5960309505462646,0.5960309505462646,0.5387116074562073
3,0.7086349725723267,1.570222e-05,0.7086349725723267,0.3888622224330902,0.5963231325149536,0.5963231325149536,0.5458210706710815
4,0.6862366199493408,3.6975554e-05,0.6862366199493408,0.4224711060523987,0.5977358818054199,0.5977358818054199,0.539196252822876
5,0.6714590787887573,4.0881285e-05,0.6714590787887573,0.444926917552948,0.6044327616691589,0.6044327616691589,0.5319814085960388
6,0.6653527617454529,1.9607949e-05,0.6653527617454529,0.45362356305122375,0.5802060961723328,0.5802060961723328,0.5657764673233032
7,0.6597468852996826,2.1491422e-05,0.6597468852996826,0.4612817168235779,0.5783097147941589,0.5783097147941589,0.565050482749939
8,0.652390718460083,4.2764757e-05,0.652390718460083,0.4724520444869995,0.5776715278625488,0.5776715278625488,0.5684008598327637
9,0.6475921273231506,3.509208e-05,0.6475921273231506,0.47970348596572876,0.5771121382713318,0.5771121382713318,0.5698880553245544
10,0.6448016166687012,1.3818747e-05,0.6448016166687012,0.4840163588523865,0.5718992352485657,0.5718992352485657,0.5761287212371826
11,0.6416469216346741,2.7280625e-05,0.6416469216346741,0.4889640510082245,0.575542151927948,0.575542151927948,0.5745478272438049
12,0.6366293430328369,4.855396e-05,0.6366293430328369,0.49633628129959106,0.5880945324897766,0.5880945324897766,0.5540677309036255
13,0.633277416229248,2.930288e-05,0.633277416229248,0.500675618648529,0.5709552764892578,0.5709552764892578,0.5740495920181274
14,0.632470428943634,1.1796491e-05,0.632470428943634,0.5017371773719788,0.5618698000907898,0.5618698000907898,0.5868417024612427
15,0.6292481422424316,3.3069828e-05,0.6292481422424316,0.5074939131736755,0.5636247992515564,0.5636247992515564,0.5879048109054565
16,0.6250119805335999,4.4787015e-05,0.6250119805335999,0.5127164125442505,0.5639107823371887,0.5639107823371887,0.5840274691581726
